question_number,question_id,mode,planner_facing,next_failure_surface,expected_mode_behavior
35,q35_which_proposed_details_would_be_oracle_l,prior_only,False,evaluator_only_not_planner_facing,evaluator_only_not_planner_facing
35,q35_which_proposed_details_would_be_oracle_l,prior_plus_support_content_only,False,evaluator_only_not_planner_facing,evaluator_only_not_planner_facing
35,q35_which_proposed_details_would_be_oracle_l,prior_plus_support_content_plus_lexical_hints,False,evaluator_only_not_planner_facing,evaluator_only_not_planner_facing
