question_id,group_id,mode,expected_path,direct_probe_hit,step2c_retrieved_hit,step2c_candidate_hit,classification_status
q01_who_are_the_npcs_the_players_encountered,pippa_character_continuity,prior_only,corpus/eldyrwild-markdown/Longmont Campaign/Campaign 1/NPCs/pippa/README.md,True,False,False,direct_probe_hit_step2c_miss
q01_who_are_the_npcs_the_players_encountered,bubbles_character_continuity,prior_only,corpus/eldyrwild-markdown/Longmont Campaign/Campaign 1/NPCs/bubbles_the_float_goat/README.md,True,False,False,direct_probe_hit_step2c_miss
q03_is_mirathorn_really_more_than_a_week_away_on_foot,mirathorn_distance_estimate_from_play,prior_only,corpus/eldyrwild-markdown/Longmont Campaign/Campaign 1/Session Recaps/Session 3 - The Stone Bridge Flood.md,True,False,False,direct_probe_hit_step2c_miss
q05_how_might_a_merchant_describe_the_giant_tree_in_hempholm,hempholm_location_context,prior_only,corpus/eldyrwild-markdown/Longmont Campaign/Campaign 1/Locations/hempholm/README.md,True,False,False,direct_probe_hit_step2c_miss
q05_how_might_a_merchant_describe_the_giant_tree_in_hempholm,hempholm_tree_support_context,prior_plus_support_content_plus_lexical_hints,support:hempholm_tree_visible_threat,True,False,False,direct_probe_hit_step2c_miss
